,date,portfolio_value,cash,positions_value,num_positions,daily_return
12,2023-11-13,100000,100000,0,0,0.0
13,2023-11-14,100000,100000,0,0,0.0
14,2023-11-15,100000,100000,0,0,0.0
15,2023-11-16,100000,100000,0,0,0.0
16,2023-11-17,100000,100000,0,0,0.0
17,2023-11-20,100000,100000,0,0,0.0
18,2023-11-21,100000,100000,0,0,0.0
19,2023-11-22,100000,100000,0,0,0.0
20,2023-11-23,100000,100000,0,0,0.0
21,2023-11-24,100000,100000,0,0,0.0
22,2023-11-27,100000,100000,0,0,0.0
23,2023-11-28,100000,100000,0,0,0.0
24,2023-11-29,100000,100000,0,0,0.0
25,2023-11-30,100000,100000,0,0,0.0
26,2023-12-01,100000,100000,0,0,0.0
27,2023-12-04,100000,100000,0,0,0.0
28,2023-12-05,100000,100000,0,0,0.0
29,2023-12-06,100000,100000,0,0,0.0
30,2023-12-07,100000,100000,0,0,0.0
31,2023-12-08,100000,100000,0,0,0.0
32,2023-12-11,100000,100000,0,0,0.0
33,2023-12-12,100000,100000,0,0,0.0
34,2023-12-13,100000,100000,0,0,0.0
35,2023-12-14,100000,100000,0,0,0.0
36,2023-12-15,100000,100000,0,0,0.0
37,2023-12-18,100000,100000,0,0,0.0
38,2023-12-19,100000,100000,0,0,0.0
39,2023-12-20,100000,100000,0,0,0.0
40,2023-12-21,100000,100000,0,0,0.0
41,2023-12-22,100000,100000,0,0,0.0
42,2023-12-25,100000,100000,0,0,0.0
43,2023-12-26,100000,100000,0,0,0.0
44,2023-12-27,100000,100000,0,0,0.0
45,2023-12-28,100000,100000,0,0,0.0
46,2023-12-29,100000,100000,0,0,0.0
47,2024-01-01,100000,100000,0,0,0.0
48,2024-01-02,100000,100000,0,0,0.0
49,2024-01-03,100000,100000,0,0,0.0
50,2024-01-04,100000,100000,0,0,0.0
51,2024-01-05,100000,100000,0,0,0.0
52,2024-01-08,100000,100000,0,0,0.0
53,2024-01-09,100000,100000,0,0,0.0
54,2024-01-10,100000,100000,0,0,0.0
55,2024-01-11,100000,100000,0,0,0.0
56,2024-01-12,100000,100000,0,0,0.0
57,2024-01-15,100000,100000,0,0,0.0
58,2024-01-16,100000,100000,0,0,0.0
59,2024-01-17,100000,100000,0,0,0.0
60,2024-01-18,100000,100000,0,0,0.0
61,2024-01-19,100000,100000,0,0,0.0
62,2024-01-22,100000,100000,0,0,0.0
63,2024-01-23,100000,100000,0,0,0.0
64,2024-01-24,100000,100000,0,0,0.0
65,2024-01-25,100000,100000,0,0,0.0
66,2024-01-26,100000,100000,0,0,0.0
67,2024-01-29,100000,100000,0,0,0.0
68,2024-01-30,100000,100000,0,0,0.0
69,2024-01-31,100000,100000,0,0,0.0
70,2024-02-01,100000,100000,0,0,0.0
71,2024-02-02,100000,100000,0,0,0.0
72,2024-02-05,100000,100000,0,0,0.0
73,2024-02-06,100000,100000,0,0,0.0
74,2024-02-07,100000,100000,0,0,0.0
75,2024-02-08,100000,100000,0,0,0.0
76,2024-02-09,100000,100000,0,0,0.0
77,2024-02-12,100000,100000,0,0,0.0
78,2024-02-13,100000,100000,0,0,0.0
79,2024-02-14,100000,100000,0,0,0.0
80,2024-02-15,100000,100000,0,0,0.0
81,2024-02-16,100000,100000,0,0,0.0
82,2024-02-19,100000,100000,0,0,0.0
83,2024-02-20,100000,100000,0,0,0.0
84,2024-02-21,100000,100000,0,0,0.0
85,2024-02-22,100000,100000,0,0,0.0
86,2024-02-23,100000,100000,0,0,0.0
87,2024-02-26,100000,100000,0,0,0.0
88,2024-02-27,100000,100000,0,0,0.0
89,2024-02-28,100000,100000,0,0,0.0
90,2024-02-29,100000,100000,0,0,0.0
91,2024-03-01,100000,100000,0,0,0.0
92,2024-03-04,100000,100000,0,0,0.0
93,2024-03-05,100000,100000,0,0,0.0
94,2024-03-06,100000,100000,0,0,0.0
95,2024-03-07,100000,100000,0,0,0.0
96,2024-03-08,100000,100000,0,0,0.0
97,2024-03-11,100000,100000,0,0,0.0
98,2024-03-12,100000,100000,0,0,0.0
99,2024-03-13,100000,100000,0,0,0.0
100,2024-03-14,100000,100000,0,0,0.0
101,2024-03-15,100000,100000,0,0,0.0
102,2024-03-18,100000,100000,0,0,0.0
103,2024-03-19,100000,100000,0,0,0.0
104,2024-03-20,100000,100000,0,0,0.0
105,2024-03-21,100000,100000,0,0,0.0
106,2024-03-22,100000,100000,0,0,0.0
107,2024-03-25,100000,100000,0,0,0.0
108,2024-03-26,100000,100000,0,0,0.0
109,2024-03-27,100000,100000,0,0,0.0
110,2024-03-28,100000,100000,0,0,0.0
111,2024-03-29,100000,100000,0,0,0.0
112,2024-04-01,100000,100000,0,0,0.0
113,2024-04-02,100000,100000,0,0,0.0
114,2024-04-03,100000,100000,0,0,0.0
115,2024-04-04,100000,100000,0,0,0.0
116,2024-04-05,100000,100000,0,0,0.0
117,2024-04-08,100000,100000,0,0,0.0
118,2024-04-09,100000,100000,0,0,0.0
119,2024-04-10,100000,100000,0,0,0.0
120,2024-04-11,100000,100000,0,0,0.0
121,2024-04-12,100000,100000,0,0,0.0
122,2024-04-15,100000,100000,0,0,0.0
123,2024-04-16,100000,100000,0,0,0.0
124,2024-04-17,100000,100000,0,0,0.0
125,2024-04-18,100000,100000,0,0,0.0
126,2024-04-19,100000,100000,0,0,0.0
127,2024-04-22,100000,100000,0,0,0.0
128,2024-04-23,100000,100000,0,0,0.0
0,2024-04-23,100000,100000,0,0,0.0
1,2024-04-24,100000,100000,0,0,0.0
2,2024-04-25,100000,100000,0,0,0.0
